00,当前设定值
1A,第1段：设定温度
1B,第1段：设定时间
1C,第2段：设定温度
1D,第2段：设定时间
1E,第3段：设定温度
1F,第3段：设定时间
20,第4段：设定温度
21,第4段：设定时间
22,第5段：设定温度
23,第5段：设定时间
24,第6段：设定温度
25,第6段：设定时间
26,第7段：设定温度
27,第7段：设定时间
28,第8段：设定温度
29,第8段：设定时间
2A,第9段：设定温度
2B,第9段：设定时间
2C,第10段：设定温度
2D,第10段：设定时间
2E,第11段：设定温度
2F,第11段：设定时间
30,第12段：设定温度
31,第12段：设定时间
32,第13段：设定温度
33,第13段：设定时间
34,第14段：设定温度
35,第14段：设定时间
36,第15段：设定温度
37,第15段：设定时间
38,第16段：设定温度
39,第16段：设定时间
3A,第17段：设定温度
3B,第17段：设定时间
3C,第18段：设定温度
3D,第18段：设定时间
3E,第19段：设定温度
3F,第19段：设定时间
40,第20段：设定温度
41,第20段：设定时间
42,第21段：设定温度
43,第21段：设定时间
44,第22段：设定温度
45,第22段：设定时间
46,第23段：设定温度
47,第23段：设定时间
48,第24段：设定温度
49,第24段：设定时间
4A,第25段：设定温度
4B,第25段：设定时间
4C,第26段：设定温度
4D,第26段：设定时间
4E,第27段：设定温度
4F,第27段：设定时间
50,第28段：设定温度
51,第28段：设定时间
52,第29段：设定温度
53,第29段：设定时间
54,第30段：设定温度
55,第30段：设定时间
56,第31段：设定温度
57,第31段：设定时间
58,第32段：设定温度
59,第32段：设定时间
5A,第33段：设定温度
5B,第33段：设定时间
5C,第34段：设定温度
5D,第34段：设定时间
5E,第35段：设定温度
5F,第35段：设定时间
60,第36段：设定温度
61,第36段：设定时间
62,第37段：设定温度
63,第37段：设定时间
64,第38段：设定温度
65,第38段：设定时间
66,第39段：设定温度
67,第39段：设定时间
68,第40段：设定温度
69,第40段：设定时间
6A,第41段：设定温度
6B,第41段：设定时间
6C,第42段：设定温度
6D,第42段：设定时间
6E,第43段：设定温度
6F,第43段：设定时间
70,第44段：设定温度
71,第44段：设定时间
72,第45段：设定温度
73,第45段：设定时间
74,第46段：设定温度
75,第46段：设定时间
76,第47段：设定温度
77,第47段：设定时间
78,第48段：设定温度
79,第48段：设定时间
7A,第49段：设定温度
7B,第49段：设定时间
7C,第50段：设定温度
7D,第50段：设定时间
7E,第51段：设定温度
7F,第51段：设定时间
80,第52段：设定温度
81,第52段：设定时间
82,第53段：设定温度
83,第53段：设定时间
84,第54段：设定温度
85,第54段：设定时间
86,第55段：设定温度
87,第55段：设定时间
88,第56段：设定温度
89,第56段：设定时间
8A,第57段：设定温度
8B,第57段：设定时间
8C,第58段：设定温度
8D,第58段：设定时间
8E,第59段：设定温度
8F,第59段：设定时间
90,第60段：设定温度
91,第60段：设定时间
92,第61段：设定温度
93,第61段：设定时间
94,第62段：设定温度
95,第62段：设定时间
96,第63段：设定温度
97,第63段：设定时间
98,第64段：设定温度
99,第64段：设定时间
9A,第65段：设定温度
9B,第65段：设定时间
9C,第66段：设定温度
9D,第66段：设定时间
9E,第67段：设定温度
9F,第67段：设定时间
A0,第68段：设定温度
A1,第68段：设定时间
A2,第69段：设定温度
A3,第69段：设定时间
A4,第70段：设定温度
A5,第70段：设定时间
A6,第71段：设定温度
A7,第71段：设定时间
A8,第72段：设定温度
A9,第72段：设定时间
AA,第73段：设定温度
AB,第73段：设定时间
AC,第74段：设定温度
AD,第74段：设定时间
AE,第75段：设定温度
AF,第75段：设定时间
B0,第76段：设定温度
B1,第76段：设定时间
B2,第77段：设定温度
B3,第77段：设定时间
B4,第78段：设定温度
B5,第78段：设定时间
B6,第79段：设定温度
B7,第79段：设定时间
B8,第80段：设定温度
B9,第80段：设定时间
BA,第81段：设定温度
BB,第81段：设定时间
BC,第82段：设定温度
BD,第82段：设定时间
BE,第83段：设定温度
BF,第83段：设定时间
C0,第84段：设定温度
C1,第84段：设定时间
C2,第85段：设定温度
C3,第85段：设定时间
C4,第86段：设定温度
C5,第86段：设定时间
C6,第87段：设定温度
C7,第87段：设定时间
C8,第88段：设定温度
C9,第88段：设定时间
CA,第89段：设定温度
CB,第89段：设定时间
CC,第90段：设定温度
CD,第90段：设定时间
CE,第91段：设定温度
CF,第91段：设定时间
D0,第92段：设定温度
D1,第92段：设定时间
D2,第93段：设定温度
D3,第93段：设定时间
D4,第94段：设定温度
D5,第94段：设定时间
D6,第95段：设定温度
D7,第95段：设定时间
D8,第96段：设定温度
D9,第96段：设定时间
DA,第97段：设定温度
DB,第97段：设定时间
DC,第98段：设定温度
DD,第98段：设定时间
DE,第99段：设定温度
DF,第99段：设定时间
E0,第100段：设定温度
E1,第100段：设定时间
E2,运行模式
E3,当前段号
E4,运行状态及控制
